XPosition,YPosition
0.3836734693877551,0.18112244897959184
0.7510204081632653,0.15816326530612246
0.8505102040816327,0.12602040816326532
0.14030612244897958,0.35306122448979593
0.24846938775510205,0.21581632653061225
0.4443877551020408,0.3183673469387755
0.6918367346938775,0.2596938775510204
0.8556122448979592,0.37244897959183676
0.25918367346938775,0.573469387755102
0.3112244897959184,0.5658163265306122
0.28622448979591836,0.47806122448979593
0.45816326530612245,0.47091836734693876
0.5653061224489796,0.49081632653061225
0.5719387755102041,0.5346938775510204
0.6474489795918368,0.5653061224489796
0.6729591836734694,0.6270408163265306
0.8255102040816327,0.5663265306122449
0.8678571428571429,0.49642857142857144
0.9392857142857143,0.5229591836734694
0.07040816326530612,0.6892857142857143
0.13979591836734695,0.875
0.24387755102040817,0.8224489795918367
0.30714285714285716,0.8020408163265306
0.28214285714285714,0.8760204081632653
0.41581632653061223,0.861734693877551
0.5566326530612244,0.7663265306122449
0.8561224489795919,0.810204081632653
