XPosition,YPosition
0.3489795918367347,0.11989795918367346
0.38112244897959185,0.286734693877551
0.3494897959183674,0.39081632653061227
0.5974489795918367,0.27755102040816326
0.6693877551020408,0.13673469387755102
0.7790816326530612,0.17908163265306123
0.9285714285714286,0.25255102040816324
0.938265306122449,0.46377551020408164
0.9316326530612244,0.55
0.588265306122449,0.5642857142857143
0.0933673469387755,0.8204081632653061
0.22653061224489796,0.7204081632653061
0.3438775510204082,0.6392857142857142
0.3979591836734694,0.7428571428571429
0.7209183673469388,0.8627551020408163
