XPosition,YPosition
0.11181640625,0.1171875
0.14697265625,0.24365234375
0.35791015625,0.12939453125
0.498046875,0.130859375
0.71533203125,0.14306640625
0.87890625,0.11181640625
0.115234375,0.3837890625
0.1123046875,0.50048828125
0.42138671875,0.47802734375
0.57080078125,0.53857421875
0.7666015625,0.43310546875
0.900390625,0.6015625
0.087890625,0.81396484375
0.236328125,0.83251953125
0.47802734375,0.76708984375
0.58642578125,0.751953125
0.6845703125,0.7001953125
0.79345703125,0.69775390625
0.9072265625,0.6962890625
0.6875,0.84521484375
0.79638671875,0.84521484375
0.90478515625,0.8447265625
