Cars
Word,XPercentage,YPercentage
jack,0.05,0.33214285714285713
spare tire,0.12091836734693878,0.35459183673469385
trunk,0.1663265306122449,0.35918367346938773
flare,0.18928571428571428,0.3974489795918367
rear bumper,0.11734693877551021,0.45
hatchback,0.14795918367346939,0.539795918367347
sunroof,0.19081632653061226,0.6290816326530613
windshield,0.16071428571428573,0.6836734693877551
antenna,0.3270408163265306,0.7229591836734693
hood,0.24693877551020407,0.7658163265306123
headlights,0.20357142857142857,0.835204081632653
parking lights,0.37755102040816324,0.8204081632653061
turn signal (lights),0.37857142857142856,0.8520408163265306
front bumper,0.24591836734693878,0.8785714285714286
air filter,0.5663265306122449,0.338265306122449
fan belt,0.5857142857142857,0.5265306122448979
battery,0.38571428571428573,0.5801020408163265
terminal,0.4045918367346939,0.6658163265306123
radiator,0.6295918367346939,0.6469387755102041
hose,0.9229591836734694,0.5704081632653061
dipstick,0.9321428571428572,0.38826530612244897
