Simple Animals
Word,XPercentage,YPercentage
snail,0.1826530612244898,0.10612244897959183
shell,0.19693877551020408,0.0663265306122449
antenna,0.3780612244897959,0.07806122448979592
oyster,0.5959183673469388,0.0836734693877551
mussel,0.8744897959183674,0.09693877551020408
slug,0.11938775510204082,0.2086734693877551
squid,0.12959183673469388,0.3719387755102041
octopus,0.4403061224489796,0.3607142857142857
starfish,0.9505102040816327,0.3974489795918367
shrimp,0.16020408163265307,0.5530612244897959
crab,0.3683673469387755,0.5846938775510204
scallop,0.3,0.6816326530612244
worm,0.5785714285714286,0.6591836734693878
jellyfish,0.7413265306122448,0.6688775510204081
tentacle,0.6989795918367347,0.738265306122449
lobster,0.2642857142857143,0.8137755102040817
claw,0.5239795918367347,0.8311224489795919
