Containers, Quantities, and Money
Word,XPercentage,YPercentage
carton,0.1826171875,0.2041015625
container,0.6025390625,0.203125
bottle,0.84912109375,0.0498046875
package,0.2080078125,0.38330078125
stick,0.5224609375,0.3408203125
tub,0.50732421875,0.4287109375
loaf,0.90966796875,0.41552734375
bag,0.22265625,0.74951171875
jar,0.52294921875,0.62744140625
can,0.84912109375,0.578125
roll,0.75927734375,0.81982421875
