Map of the World
Word,XPercentage,YPercentage
Beaufort Sea,0.29183673469387755,0.13724489795918368
Baffin Bay,0.5923469387755103,0.1413265306122449
North Atlantic,0.7285714285714285,0.25510204081632654
Hudson Bay,0.5035714285714286,0.24693877551020407
Yukon,0.22193877551020408,0.21377551020408164
Gulf of Alaska,0.2627551020408163,0.27448979591836736
North Pacific,0.14795918367346939,0.3224489795918367
Rocky Mountains,0.38316326530612244,0.3081632653061224
North America,0.4326530612244898,0.3198979591836735
Mississippi,0.4872448979591837,0.3607142857142857
Appalachian Mountains,0.5321428571428571,0.3637755102040816
Painted,0.41122448979591836,0.3836734693877551
Mojave,0.3821428571428571,0.39540816326530615
Rio Grande,0.42806122448979594,0.4086734693877551
Gulf of Mexico,0.48214285714285715,0.4362244897959184
Sierra Madre,0.4377551020408163,0.45918367346938777
Caribbean Sea,0.5979591836734693,0.4933673469387755
Amazon,0.5821428571428572,0.5770408163265306
South America,0.6352040816326531,0.6076530612244898
Atacama,0.5801020408163265,0.6591836734693878
Paraná,0.6357142857142857,0.6709183673469388
Andes,0.5897959183673469,0.6979591836734694
equator,0.4142857142857143,0.5489795918367347
north,0.3025510204081633,0.5974489795918367
west,0.2423469387755102,0.6877551020408164
south,0.3040816326530612,0.7938775510204081
east,0.4219387755102041,0.688265306122449
South Pacific,0.14642857142857144,0.7010204081632653
Antarctica,0.5586734693877551,0.9403061224489796
North Sea,0.8346938775510204,0.21479591836734693
Sahara,0.8464285714285714,0.4204081632653061
Niger,0.8474489795918367,0.5025510204081632
Gulf of Guinea,0.8459183673469388,0.5841836734693877
South Atlantic,0.7280612244897959,0.7010204081632653
