The United States of America
Word,XPercentage,YPercentage
Alaska,0.33877551020408164,0.35051020408163264
Hawaii,0.4346938775510204,0.6341836734693878
Washington,0.6826530612244898,0.15816326530612246
Oregon,0.6464285714285715,0.25255102040816324
California,0.6045918367346939,0.4739795918367347
Montana,0.9112244897959184,0.2153061224489796
Idaho,0.7928571428571428,0.2923469387755102
Nevada,0.7045918367346938,0.41989795918367345
Wyoming,0.9270408163265306,0.34030612244897956
Utah,0.8280612244897959,0.45714285714285713
Arizona,0.8025510204081633,0.6158163265306122
Colorado,0.9433673469387756,0.47551020408163264
New Mexico,0.9387755102040817,0.6260204081632653
