The City
Word,XPercentage,YPercentage
elevator,0.2076530612244898,0.11428571428571428
bookstore,0.23010204081632654,0.2653061224489796
parking garage,0.31785714285714284,0.26071428571428573
parking meter,0.36887755102040815,0.36122448979591837
traffic light,0.14183673469387756,0.4959183673469388
drugstore,0.3719387755102041,0.48112244897959183
apartment house,0.5464285714285714,0.29183673469387755
building number,0.5270408163265307,0.5295918367346939
sidewalk,0.30459183673469387,0.6540816326530612
curb,0.33316326530612245,0.7051020408163265
baby carriage,0.6122448979591837,0.6913265306122449
fruit and vegetable market,0.7591836734693878,0.7005102040816327
streetlight,0.6418367346938776,0.8081632653061225
newsstand,0.1469387755102041,0.8994897959183673
street,0.21989795918367347,0.8704081632653061
manhole,0.3413265306122449,0.9224489795918367
